D,Hs,c1,t,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,w1,w2
1.00,0.00 < HS <= 0.25,0.20,0.25,14-3.10-32-1.70-(17-17-21-98-17-15-15),14-3.10-32-1.70-(17-98-21-17-17-15-15),10-9-16.0-1.00-(100),10-3.10-32.0-1.60-(15-130-15),10-5-32.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-1.99-(45-17-35-22),10-3*2-!-1.30-(130),10-4.3*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),42.40,10.48
1.00,0.25 < HS <= 0.60,0.20,0.25,14-3.33-30-1.70-(17-17-21-98-17-15-15),14-3.33-30-1.70-(17-98-21-17-17-15-15),10-9-16.0-1.00-(100),10-3.33-30.0-1.60-(15-130-15),10-5-32.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-1.99-(45-17-35-22),10-3*2-!-1.30-(130),10-4.3*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),43.42,10.48
1.00,0.60 < HS <= 6.00,0.20,0.25,12-3.33-30-1.66-(15-17-21-98-15-15-15),14-3.33-30-1.66-(15-98-21-17-15-15-15),10-6-26.0-1.00-(100),10-3.33-30.0-1.60-(15-130-15),10-6-26.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-1.99-(45-17-35-22),10-3*2-!-1.30-(130),10-4.3*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),38.45,10.48
2.00,0.00 < HS <= 0.25,0.30,0.25,18-3.33-30-3.00-(22-27-20-209-22-15-15),18-3.33-30-3.00-(22-209-20-27-22-15-15),14-11-25.0-1.00-(100),10-3.33-30.0-2.80-(15-250-15),10-8-30.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-2.19-(45-17-45-22),10-3*2-!-2.50-(250),10-8.3*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),82.26,20.21
2.00,0.25 < HS <= 0.60,0.30,0.25,18-3.57-28-3.00-(22-27-20-209-22-15-15),18-3.57-28-3.00-(22-209-20-27-22-15-15),14-11-25.0-1.00-(100),10-3.57-28.0-2.80-(15-250-15),10-8-30.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-2.19-(45-17-45-22),10-3*2-!-2.50-(250),10-8.3*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),85.94,20.21
2.00,0.60 < HS <= 2.00,0.30,0.25,14-3.33-30-2.96-(20-27-20-209-20-15-15),14-3.33-30-2.96-(20-209-20-27-20-15-15),10-9-30.0-1.00-(100),10-3.33-30.0-2.80-(15-250-15),10-9-30.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-2.19-(45-17-45-22),10-3*2-!-2.50-(250),10-8.3*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),59.43,20.21
2.00,2.00 < HS <= 4.00,0.30,0.25,16-3.33-30-2.96-(20-27-20-209-20-15-15),16-3.33-30-2.96-(20-209-20-27-20-15-15),10-9-30.0-1.00-(100),10-3.33-30.0-2.80-(15-250-15),10-9-30.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-2.19-(45-17-45-22),10-3*2-!-2.50-(250),10-8.3*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),66.71,20.21
2.00,4.00 < HS <= 5.00,0.30,0.30,16-3.33-30-2.97-(20-24-20-209-20-20-20),16-3.33-30-2.97-(20-209-20-24-20-20-20),10-9-32.0-1.00-(100),16-3.33-30.0-2.80-(15-250-15),10-9-30.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-2.29-(50-17-45-22),10-3*2-!-2.50-(250),10-8.3*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),66.96,20.21
2.00,5.00 < HS <= 6.00,0.30,0.30,16-4.00-25-2.97-(20-24-20-209-20-20-20),16-4.00-25-2.97-(20-209-20-24-20-20-20),10-9-30.0-1.00-(100),10-4.00-25.0-2.80-(15-250-15),10-9-30.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-2.29-(50-17-45-22),10-3*2-!-2.50-(250),10-8.3*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),42.40,20.21
3.00,0.00 < HS <= 0.25,0.30,0.30,20-3.57-28-4.10-(27-26-27-303-27-20-20),20-3.57-28-4.10-(27-303-27-26-27-20-20),14-17-20.0-1.00-(100),10-3.57-28.0-3.80-(15-350-15),10-14-27.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-2.44-(50-17-50-22),10-3*2-!-3.50-(350),10-11.6*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),129.52,20.61
3.00,0.25 < HS <= 0.60,0.30,0.30,20-3.85-26-4.10-(27-26-27-303-27-20-20),20-3.85-26-4.10-(27-303-27-26-27-20-20),14-17-20.0-1.00-(100),10-3.85-26.0-3.80-(15-350-15),10-14-27.0-1.00-(100),10-8*2-!-1.00-(100),10-3.3*2-30-2.44-(50-17-50-22),10-3*2-!-3.50-(350),10-11.6*2-30-1.07-(40-20-7-15-25),!-!-!-!-(!-!-!),135.84,20.61
